"Summary","خلاصة",theme,frontend\Magento\blank
"Account Dashboard","لوحة تحكم الحساب",theme,frontend\Magento\blank
"Account Information","معلومات الحساب",theme,frontend\Magento\blank
"Address Book","سجل العناوين",theme,frontend\Magento\blank
"Menu","القائمة",theme,frontend\Magento\blank
"Account","الحساب",theme,frontend\Magento\blank
"Settings","الإعدادات",theme,frontend\Magento\blank
"Now Shopping by","تسوق الآن من",theme,frontend\Magento\luma
"Previous","السابق",theme,frontend\Magento\luma
"Remove","ازالة",theme,frontend\Magento\luma
"Remove This Item","حذف هذا العنصر",theme,frontend\Magento\luma
"Shop By","تصفح عبر",theme,frontend\Magento\luma
"Clear All","إلغاء الكل",theme,frontend\Magento\luma
"Shopping Options","خيارات تنفيذ البيع",theme,frontend\Magento\luma
"Welcome to %store_name","مرحبا بك في %store_name",theme,frontend\Magento\luma
"%name,","%name،",theme,frontend\Magento\luma
"Welcome to %store_name.","مرحبا بك في %store_name.",theme,frontend\Magento\luma
"To sign in to our site, use these credentials during checkout or on the <a href=""%customer_url"">My Account</a> page:","لتسجيل الدخول إلى موقعنا استخدم بيانات الدخول التالية للشراء أو لإدارة <a href=""%customer_url""> عضويتك</a>:",theme,frontend\Magento\luma
"Email:","البريد الالكترونى:",theme,frontend\Magento\luma
"Password:","الرقم السري:",theme,frontend\Magento\luma
"Password you set when creating account","كلمة المرور التي قمت بتعيينها عند إنشاء الحساب",theme,frontend\Magento\luma
"Forgot your account password? Click <a href=""%reset_url"">here</a> to reset it.","نسيت كلمة مرور حسابك؟ <a href=""%reset_url"">اضغط هنا</a> لإعادة تعيينها.",theme,frontend\Magento\luma
"When you sign in to your account, you will be able to:","عند تسجيل الدخول إلى حسابك، سوف تكون قادراً على:",theme,frontend\Magento\luma
"Quick Checkout","إتمام الشراء الفوري",theme,frontend\Magento\luma
"Proceed through checkout faster","أكمل في الشراء الفوري",theme,frontend\Magento\luma
"Order Status","حالة الطلب",theme,frontend\Magento\luma
"Check the status of orders","التحقق من حالة الطلب",theme,frontend\Magento\luma
"Manage Addresses","إدارة العناوين",theme,frontend\Magento\luma
"Store alternative addresses","حفظ عناوين بديلة",theme,frontend\Magento\luma
"For shipping to multiple family members and friends","للشحن إلى العديد من أفراد العائلة والأصدقاء",theme,frontend\Magento\luma
"Order History","سجل الطلبات",theme,frontend\Magento\luma
"View past orders","عرض الطلبات السابقة",theme,frontend\Magento\luma
"Footer","ذيل الصفحة",theme,frontend\Magento\luma
"<a href=%url_about_us>About Us</a>","<a href=%url_about_us>About Us</a>",theme,frontend\Magento\luma
